,Dataset,Col Name,Chi_Sq Val,P-value,Pass/Fail
0,creditcard.csv,Time,28.765574081734357,0.0003485745998116352,Not Obeyed
1,creditcard.csv,V1,18.719592989340402,0.016433374043255622,Not Obeyed
2,creditcard.csv,V2,4.195185719066462,0.8390975912110767,Obeyed
3,creditcard.csv,V3,7.703970599048479,0.4629082341151419,Obeyed
4,creditcard.csv,V4,1.922767319368039,0.983288715659598,Obeyed
5,creditcard.csv,V5,1.77550821955036,0.9871375885245749,Obeyed
6,creditcard.csv,V6,3.440460276245444,0.9037610799064479,Obeyed
7,creditcard.csv,V7,5.121108530925147,0.7445569552641447,Obeyed
8,creditcard.csv,V8,0.3969662548073954,0.9999447981340019,Obeyed
9,creditcard.csv,V9,1.9462045125504293,0.9826168757312681,Obeyed
10,creditcard.csv,V10,2.749117609616253,0.9491021535525449,Obeyed
11,creditcard.csv,V11,10.304867406395372,0.24427684461660149,Obeyed
12,creditcard.csv,V12,2.158446496989911,0.9757649068822045,Obeyed
13,creditcard.csv,V13,4.363783494989796,0.8229013860385377,Obeyed
14,creditcard.csv,V14,0.9764575293821799,0.9983927869571819,Obeyed
15,creditcard.csv,V15,4.541217568521439,0.8052953931322743,Obeyed
16,creditcard.csv,V16,2.0896876313631934,0.9781381442199528,Obeyed
17,creditcard.csv,V17,4.715902745897714,0.7874642867611953,Obeyed
18,creditcard.csv,V18,2.342014450364808,0.9686913578646256,Obeyed
19,creditcard.csv,V19,1.2490674038003302,0.9961330592880511,Obeyed
20,creditcard.csv,V20,1.7388330509461218,0.9879985619940943,Obeyed
21,creditcard.csv,V21,7.665575340739556,0.4668002195246129,Obeyed
22,creditcard.csv,V22,12.250774031545253,0.1403607894852541,Obeyed
23,creditcard.csv,V23,1.8630477556026859,0.9849263459645733,Obeyed
24,creditcard.csv,V24,10.638027302732606,0.22306432269657828,Obeyed
25,creditcard.csv,V25,6.338169961769833,0.6094082317174653,Obeyed
26,creditcard.csv,V26,2.1339128459576893,0.9766287877841094,Obeyed
27,creditcard.csv,V27,1.0012907037342673,0.9982402095777685,Obeyed
28,creditcard.csv,V28,0.21399057326232224,0.9999949865109421,Obeyed
29,creditcard.csv,Amount,3.8471884888528267,0.8706406587801496,Obeyed
